CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,
"7445","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 372","Lingenfelter, G","6","Open",
"7446","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 372","Lingenfelter, G","0","Closed",
"7448","ACCT 201","3","Prin of Account I: Financial","3","","Lec","TR","1500-1615","LUTR 372","Frucot, V","0","Closed",
"7449","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","MWF","0800-0850","LUTR 264","Hiotellis, S","0","Closed",
"7451","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MW","1600-1715","LUTR 264","Adut, D","0","Closed",
"7452","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MW","1800-1915","LUTR 242","Lindquist, A","0","Closed",
"7453","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","TR","1500-1615","LUTR 142","Staff","0","Closed",
"7454","ACCT 202","6","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 242","Staff","0","Closed",
"7459","ACCT 202","7","Prin of Account II: Managerial","3","","Lec","MWF","0900-0950","FERG 207","Hiotellis, S","0","Closed",
"8219","ACCT 202","8","Prin of Account II: Managerial","3","","Lec","MWF","1100-1150","LUTR 139","Staff","0","Closed",
"8240","ACCT 202","9","Prin of Account II: Managerial","3","","Lec","TR","0930-1045","LUTR 372","Hiotellis, S","0","Closed",
"7455","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1800-1915","LUTR 372","Frucot, V","11","Open",
"7456","ACCT 302","1","Intermediate Accounting II","3","","Lec","TR","1330-1445","LUTR 123","Adut, D","0","Closed",
"7457","ACCT 302","2","Intermediate Accounting II","3","","Lec","TR","1500-1615","LUTR 123","Adut, D","9","Open",
"7458","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","MWF","1000-1050","LUTR 142","Morris, J","1","Open",
"8220","ACCT 303","2","Cost/Managerial Accounting","3","","Lec","MWF","1500-1550","LUTR 372","Morris, J","10","Open",
"7460","ACCT 352","1","Business Law II","3","","Lec","TR","0930-1045","LUTR 347","Cohen, R","6","Open",
"7461","ACCT 401","1","Taxation","3","","Lec","MWF","1400-1450","LUTR 372","Morris, J","15","Open",
"7462","ACCT 402","1","Advanced Taxation","3","","Lec","MW","1800-1915","FORBES 2070A","Morris, J","1","Open",
"7463","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Lingenfelter, G","0","Closed",
